game_year,family,cell_id,pitches,n_pitchers,usage_share,balanced,whiff_pct,csw_pct,rv100,xwobacon,rv100_rel,csw_pct_rel
2021,FF,FF|45|4|1,6430,371,0.00908,True,16.90141,27.69829,-0.36771,0.39066,-0.37017,-0.12378
2021,FF,FF|45|4|2,5509,319,0.00778,True,17.89304,29.33382,-0.13661,0.39332,-0.13907,1.51175
2021,FF,FF|45|4|3,1435,145,0.00203,True,19.61367,31.14983,-0.02167,0.38143,-0.02413,3.32775
2021,FF,FF|45|5|0,777,95,0.0011,False,20.83333,29.34363,0.35251,0.36977,0.35005,1.52156
2021,FF,FF|45|5|1,1216,160,0.00172,True,19.35484,29.6875,-1.03701,0.40018,-1.03946,1.86543
2021,FF,FF|45|5|2,662,109,0.00093,False,22.56944,29.15408,-0.91284,0.40011,-0.9153,1.33201
2021,FF,FF|46|2|0,1061,142,0.0015,True,16.23246,24.12818,-1.08153,0.36418,-1.08399,-3.69389
2021,FF,FF|46|2|1,1348,183,0.0019,True,11.97302,23.5905,-1.0862,0.35732,-1.08866,-4.23157
2021,FF,FF|46|2|2,1030,185,0.00145,True,10.59603,22.62136,-1.74301,0.40159,-1.74547,-5.20071
2021,FF,FF|46|2|3,770,128,0.00109,True,14.92958,24.28571,-0.54403,0.34793,-0.54648,-3.53636
2021,FF,FF|46|3|-1,918,103,0.0013,False,23.04147,25.81699,1.40359,0.29994,1.40114,-2.00508
2021,FF,FF|46|3|0,3804,307,0.00537,True,16.80625,24.26393,-0.75999,0.37226,-0.76245,-3.55814
2021,FF,FF|46|3|1,8590,467,0.01213,True,17.48566,25.34342,-1.01284,0.38056,-1.0153,-2.47865
2021,FF,FF|46|3|2,9204,450,0.01299,True,15.311,26.31465,-0.73886,0.38421,-0.74132,-1.50743
2021,FF,FF|46|3|3,4364,262,0.00616,True,17.3747,27.19982,-0.68497,0.38087,-0.68743,-0.62226
2021,FF,FF|46|4|-1,815,110,0.00115,False,20.99448,25.64417,0.25509,0.34505,0.25263,-2.1779
2021,FF,FF|46|4|0,7040,327,0.00994,True,20.26183,27.2017,-0.2378,0.34855,-0.24026,-0.62037
2021,FF,FF|46|4|1,14364,487,0.02028,True,18.76212,27.42969,-0.41067,0.37242,-0.41313,-0.39239
2021,FF,FF|46|4|2,11870,438,0.01676,True,19.5325,28.64364,-0.32799,0.3681,-0.33044,0.82157
2021,FF,FF|46|4|3,2844,212,0.00401,True,20.12057,31.08298,0.45098,0.35475,0.44853,3.26091
