family,feature,game_year,n_pitchers,median,sd,sd_lo,sd_hi,iqr,iqr_lo,iqr_hi,robust_cv,robust_cv_lo,robust_cv_hi,mad,mad_lo,mad_hi
CU,arm_angle,2024,143,45.3,10.594262667014503,9.234395292907791,11.853463826580894,12.174999999999997,9.274375000000006,15.650624999999994,0.19964370860927136,0.1505416474223565,0.24382715231788088,9.043859999999992,6.968219999999993,10.971239999999998
CU,arm_angle,2025,153,44.5,10.76105376846405,9.481797477011943,11.80468818171252,12.800000000000004,11.197500000000003,16.551249999999996,0.21989123595505622,0.1647333333333332,0.2722607505980861,9.785160000000001,7.709520000000004,11.786669999999994
CU,arm_angle,2026,156,42.8,9.641202951646578,8.362372792813808,10.916765124375472,11.924999999999997,10.299999999999997,13.899999999999999,0.2095731308411214,0.17920687935034785,0.24825910019118894,8.969729999999995,7.709520000000004,10.526460000000007
FC,release_speed,2021,115,88.3,2.7084562607788687,2.2290606326459677,3.245126081435115,3.6000000000000085,2.6000000000000085,4.150000000000006,0.030222876557191344,0.021851762255298442,0.03534006810442669,2.6686799999999957,1.9273799999999957,3.1134600000000123
FC,release_speed,2022,120,88.69999999999999,2.9132801968918542,2.3842503202164615,3.4115016853841884,3.5250000000000057,2.7250000000000085,4.349999999999994,0.03008658399098055,0.023308049338644464,0.03664853932584274,2.6686799999999744,2.075639999999987,3.2617199999999835
FC,release_speed,2023,139,88.7,2.7779818748222223,2.2789472406329456,3.2610012131438135,3.0500000000000114,2.375,3.9999999999999862,0.025072153325817362,0.02003513513513518,0.03342953776775648,2.2239,1.779119999999983,2.9652
FC,release_speed,2024,139,89.2,2.773512107206451,2.3226255654754415,3.1992163873703547,3.549999999999997,2.9499999999999886,4.150000000000006,0.029917937219730892,0.024181889763779333,0.03502204724409439,2.6686799999999957,2.149770000000004,3.1134599999999915
FC,release_speed,2025,135,89.6,2.7076902540514154,2.2848162694801255,3.1289338238536555,3.299999999999997,2.699374999999989,3.9750000000000085,0.02647500000000014,0.02148695652173908,0.03305685618729097,2.3721600000000125,1.9273800000000167,2.9652
FC,release_speed,2026,149,89.9,2.541102262290683,2.206414599975053,2.887608360869946,3.3499999999999943,2.5999999999999943,3.9000000000000057,0.02721123470522789,0.02216254128602572,0.032087347391786716,2.4462899999999874,1.999656749999992,2.891069999999983
FC,ivb,2021,115,7.32,3.478100404765407,2.975102730683337,3.9176409262138523,4.199999999999999,3.210000000000001,5.280000000000001,0.3888786885245901,0.31596393442622955,0.5404089096573207,2.846592,2.3128560000000005,3.9140640000000007
